bpm,compStyle,composer,key,style,title,song_index
240,Jazz-Up Tempo Swing,Coltrane John,Eb-,Up Tempo Swing,Straight Street,1118
100,Jazz-Medium Swing,Cole-Mills,Ab,Medium Swing,Straighten Up And Fly Right,1119
80,Jazz-Slow Swing,Kaempfert Bert,F,Slow Swing,Strangers In The Night,1120
60,Jazz-Ballad Swing,Mulligan Gerry,D,Ballad,Strayhorn 2,1121
60,Jazz-Ballad Swing,Young Victor,Eb,Ballad,Street Of Dreams,1122
240,Jazz-Up Tempo Swing,Gershwin George,Eb,Up Tempo Swing,Strike Up The Band,1123
160,Jazz-Medium Up Swing,Rollins Sonny,F-,Medium Up Swing,Strode Rode,1124
100,Jazz-Medium Swing,Silver Horace,Db,Medium Swing,Strollin',1125
100,Jazz-Medium Swing,Armstrong Lillian,F,Medium Swing,Struttin' With Some Barbecue,1126
160,Jazz-Medium Up Swing,Konitz Lee,C,Medium Up Swing,Subconscious Lee,1127
100,Jazz-Medium Swing,Van-Heusen Jimmy,Bb,Medium Swing,Suddenly It's Spring,1128
100,Jazz-Medium Swing,Turrentine Stanley,C-,Medium Swing,Sugar,1129
140,Jazz-Even 8ths,Goodrick Mick,C,Even 8ths,Summer Band Camp,1130
100,Jazz-Medium Swing,Silver Horace,F,Waltz,Summer In Central Park,1131
60,Jazz-Ballad Swing,Legrand Michel,F-,Ballad,"Summer Knows, The",1132
140,Jazz-Bossa Nova,Carter Benny,Db,Bossa Nova,Summer Serenade,1133
100,Jazz-Medium Swing,Meyer-Mercer,F,Medium Swing,"Summer Wind, The",1134
80,Jazz-Slow Swing,Gershwin George,A-,Slow Swing,Summertime,1135
100,Jazz-Medium Swing,Montgomery Wes,A,Medium Swing,Sun down,1136
115,Pop-Rock,Hebb Bobby,A-,Rock Pop,Sunny,1137
140,Jazz-Bossa Nova,Barron Kenny,A-,Bossa Nova,Sunshower,1138
100,Jazz-Medium Swing,Rodgers Richard,Bb,Medium Swing,Surrey With The Fringe On The Top,1139
180,Jazz-Latin,Ruiz-Gimbel,G-,Latin,Sway,1140
60,Jazz-Ballad Swing,Swallow Steve,G,Ballad,Sweeping Up,1141
100,Jazz-Medium Swing,Arnheim-Daniels-Tobias,C,Medium Swing,Sweet And Lovely,1142
160,Jazz-Medium Up Swing,Lloyd Charles,C,Medium Up Swing,Sweet Georgia Bright,1143
240,Jazz-Up Tempo Swing,Pinkard-Casey-Bernie,Ab,Up Tempo Swing,Sweet Georgia Brown,1144
100,Jazz-Medium Swing,Burwell Cliff,G,Medium Swing,Sweet Lorraine,1145
160,Jazz-Medium Up Swing,Harris-Young,G,Medium Up Swing,"Sweet Sue, Just You",1146
160,Jazz-Medium Up Swing,Rodgers Richard,C-,Medium Up Swing,"Sweetest Sounds, The",1147
240,Jazz-Up Tempo Swing,Marsalis Ellis,F,Up Tempo Swing,Swinging At The Haven,1148
80,Jazz-Slow Swing,Koffman-Roberts-Jacobson,Bb,Slow Swing,"Swinging Shepherd Blues, The",1149
150,Jazz-Medium Up Swing,Dameron Tadd,Ab,Medium Up Swing,Tadd's Delight,1150
160,Jazz-Medium Up Swing,Desmond Paul,Eb-,Medium Up Swing,Take Five,1151
160,Jazz-Medium Up Swing,Strayhorn Billy,C,Medium Up Swing,Take The A Train,1152
100,Jazz-Medium Swing,Duke Vernon,F,Medium Swing,Taking A Chance On Love,1153
100,Jazz-Medium Swing,Schertzinger Victor,F,Medium Swing,Tangerine,1154
230,Jazz-Up Tempo Swing,Konitz Lee,F,Up Tempo Swing,Tautology,1155
100,Jazz-Medium Swing,Youmans Vincent,Ab,Medium Swing,Tea For Two,1156
80,Jazz-Slow Swing,DePaul Gene,Eb,Slow Swing,Teach Me Tonight,1157
140,Pop-Funk,Hancock Herbie,C,Funk,Tell me a bedtime story,1158
240,Jazz-Up Tempo Swing,Powell Bud,D-,Up Tempo Swing,Tempus Fugit,1159
60,Jazz-Ballad Swing,Gross Walter,Eb,Ballad,Tenderly,1160
160,Jazz-Medium Up Swing,Rollins Sonny,Bb,Medium Up Swing,Tenor Madness,1161
100,Jazz-Medium Swing,Robin Leo,F,Medium Swing,Thanks For The Memory,1162
100,Jazz-Medium Swing,Arlen Harold,Eb,Medium Swing,That Old Black Magic,1163
100,Jazz-Medium Swing,Fisher Doris,Eb,Medium Swing,That Old Devil Called Love,1164
60,Jazz-Ballad Swing,Brown-Fain,C,Ballad,That Old Feeling,1165
100,Jazz-Medium Swing,Haymes-Brandt,Bb,Medium Swing,That's All,1166
80,Jazz-Slow Swing,Kay-Gordon,C,Slow Swing,That's Life,1167
100,Jazz-Medium Swing,Monk Thelonious,Bb,Medium Swing,Thelonious,1168
240,Jazz-Up Tempo Swing,Tracy-Tauber-Pinkard,Ab,Up Tempo Swing,Them There Eyes,1169
240,Jazz-Up Tempo Swing,Davis Miles,Bb,Up Tempo Swing,"Theme, The",1170
100,Jazz-Medium Swing,Jones Isham,Bb,Medium Swing,There Is No Greater Love,1171
160,Jazz-Medium Up Swing,Warren Harry,Eb,Medium Up Swing,There Will Never Be Another You,1172
100,Jazz-Medium Swing,Overstreet Benton,Bb,Medium Swing,There'll Be Some Changes Made,1173
60,Jazz-Ballad Swing,Revel Harry,F,Ballad,There's A Lull In My Life,1174
100,Jazz-Medium Swing,Rodgers Richard,Eb,Medium Swing,There's A Small Hotel,1175
60,Jazz-Ballad Swing,Hopper Hal,F,Ballad,There's No You,1176
60,Jazz-Ballad Swing,Strachey-Link,Eb,Ballad,These Foolish Things,1177
100,Jazz-Medium Swing,Gershwin George,G,Medium Swing,They All Laughed,1178
100,Jazz-Medium Swing,Gershwin George,Eb,Medium Swing,They Can't Take That Away From Me,1179
100,Jazz-Medium Swing,Kern Jerome,G,Medium Swing,They Didn't Believe Me,1180
100,Jazz-Medium Swing,Heyman-Mann-Weiss,C,Medium Swing,They Say,1181
100,Jazz-Medium Swing,Berlin Irving,F,Medium Swing,They Say It's Wonderful,1182
100,Jazz-Medium Swing,Ellington Duke,Db,Medium Swing,Things Ain't What They Used To Be,1183
100,Jazz-Medium Swing,Cahn-Styne,F,Medium Swing,"Things We Did Last Summer, The",1184
100,Jazz-Medium Swing,Monk Thelonious,F,Medium Swing,Think Of One,1185
100,Jazz-Medium Swing,Rodgers Richard,F,Medium Swing,This Can't Be Love,1186
240,Jazz-Up Tempo Swing,Allen Steve,Eb,Up Tempo Swing,This Could Be The Start Of Something Good,1187
160,Jazz-Medium Up Swing,Mobley Hank,Bb,Medium Up Swing,This I Dig Of You,1188
60,Jazz-Ballad Swing,Jenkins Gordon,F,Ballad,This Is All I Ask,1189
60,Jazz-Ballad Swing,Weill Kurt,C-,Ballad,This Is New,1190
115,Pop-Rock,Russell Leon,F-,Rock Pop,This Masquerade,1191
160,Jazz-Medium Up Swing,Arlen Harold,G,Medium Up Swing,This Time The Dream's On Me,1192
100,Jazz-Medium Swing,Berlin Irving,G,Medium Swing,This Year's Kisses,1193
160,Jazz-Medium Up Swing,Rodgers Richard,Eb,Medium Up Swing,Thou Swell,1194
160,Jazz-Medium Up Swing,Ruby Harry,C,Medium Up Swing,Three Little Words,1195
60,Jazz-Ballad Swing,Henderson Ray,C-,Ballad,"Thrill Is Gone, The",1196
240,Jazz-Up Tempo Swing,Parker Charlie,Bb,Up Tempo Swing,Thriving From A Riff,1197
