bpm,compStyle,composer,key,style,title,song_index
95,Pop-Disco,(Paich-Porcaro) Toto,A,Pop,Africa,1353
130,Pop-Soul,Marvin Gaye-Tammi Terrell (Ashford-Simpson),B-,Soul,Ain't No Mountain High Enough,1354
75,Pop-Slow Rock,Withers Bill,A-,Soul,Ain't No Sunshine,1355
105,Pop-Disco,Rufus and Chaka Khan (Hawk Woliski),Eb-,Pop,Ain't Nobody,1356
95,Pop-Soul,Marvin Gaye-Tammi Terrell (Ashford-Simpson),Eb,Soul,Ain't Nothing Like The Real Thing,1357
115,Jazz-Even 8ths,Steely Dan (Becker-Fagen),C,Funk Rock,Aja,1358
105,Latin-Brazil: Bossa Electric,War (Jerry Goldstein-War),E,Rock,All Day Music,1359
70,Pop-Slow Rock,Wonder Stevie,C#-,Pop Ballad,All In Love Is Fair,1360
150,Pop-Shuffle,"The Beatles (Lennon, McCartney)",E,Rock Pop,All My Loving,1361
110,Pop-Rock 12/8,"The Beatles (Lennon, McCartney)",G,Rock Pop,All You Need Is Love,1362
120,Pop-Rock 12/8,Fabric Bent,C,Medium Swing,Alley Cat,1363
90,Pop-Slow Rock,O'Sullivan Gilbert,Gb,Pop,Alone Again (Naturally),1364
60,Pop-Rock 12/8,Heatwave (Rod Temperton),D,Ballad,Always and Forever,1365
115,Pop-Rock,Brenda Lee (Christopher-James-Carson),D,Rock,Always On My Mind,1366
